ticker,opex_date,data_type,week_open,week_high,week_low,expiration_close,range_dollars,range_percent,weekly_return_percent,close_position_in_range,total_volume,average_volume,spot_price,atm_strike,atm_call_mid,atm_put_mid,expected_move,expected_move_percent,implied_upper,implied_lower,iv_percent,high_oi_put_strike,high_oi_put_oi,high_oi_call_strike,high_oi_call_oi
AAPL,2025-06-20,historical,196.52,200.9,194.3,200.21,6.6,3.36,1.88,0.894,224085100.0,56021275.0,,,,,,,,,,,,,
AAPL,2025-07-18,historical,209.1,211.56,206.72,210.35,4.84,2.32,0.6,0.749,225669600.0,45133920.0,,,,,,,,,,,,,
AAPL,2025-08-15,historical,227.28,234.46,224.13,230.94,10.33,4.55,1.61,0.659,295265800.0,59053160.0,,,,,,,,,,,,,
AAPL,2025-09-19,historical,236.33,245.61,234.37,244.81,11.24,4.76,3.59,0.929,360619500.0,72123900.0,,,,,,,,,,,,,
AAPL,2025-10-17,historical,248.68,252.67,244.01,251.58,8.66,3.48,1.17,0.874,196438500.0,39287700.0,,,,,,,,,,,,,
AAPL,2025-11-21,historical,268.32,274.92,264.83,270.99,10.09,3.76,0.99,0.61,235974500.0,47194900.0,,,,,,,,,,,,,
AAPL,2025-12-19,historical,279.63,279.63,266.45,273.16,13.18,4.71,-2.31,0.509,334459100.0,66891820.0,,,,,,,,,,,,,
AAPL,2026-01-16,historical,258.68,261.33,254.46,255.06,6.88,2.66,-1.4,0.087,242545400.0,48509080.0,,,,,,,,,,,,,
AAPL,2026-02-20,historical,257.81,266.57,255.3,264.34,11.27,4.37,2.53,0.801,165588200.0,41397050.0,,,,,,,,,,,,,
AAPL,2026-03-20,historical,251.88,254.9,245.77,247.76,9.12,3.62,-1.63,0.218,223388900.0,44677780.0,,,,,,,,,,,,,
AAPL,2026-04-17,historical,259.49,272.05,256.42,269.98,15.63,6.02,4.04,0.868,239278200.0,47855640.0,,,,,,,,,,,,,
AAPL,2026-05-15,future,,,,,,,,,,,292.68,292.5,3.35,3.2,6.55,2.24,299.23,286.13,0.0,280.0,0.0,295.0,0.0
AMD,2025-06-20,historical,118.64,132.81,117.78,128.24,15.03,12.67,8.09,0.696,317150500.0,79287625.0,,,,,,,,,,,,,
AMD,2025-07-18,historical,145.09,161.96,141.9,156.99,20.06,13.83,8.2,0.752,297046400.0,59409280.0,,,,,,,,,,,,,
AMD,2025-08-15,historical,170.04,186.65,168.5,177.51,18.15,10.67,4.39,0.496,349051500.0,69810300.0,,,,,,,,,,,,,
AMD,2025-09-19,historical,160.01,162.3,149.85,157.39,12.45,7.78,-1.64,0.606,246576600.0,49315320.0,,,,,,,,,,,,,
AMD,2025-10-17,historical,220.2,241.2,214.9,233.08,26.3,11.94,5.85,0.691,368331900.0,73666380.0,,,,,,,,,,,,,
AMD,2025-11-21,historical,242.75,248.77,195.0,203.78,53.77,22.15,-16.05,0.163,269419500.0,53883900.0,,,,,,,,,,,,,
AMD,2025-12-19,historical,212.28,215.36,197.53,213.43,17.83,8.4,0.54,0.892,170450800.0,34090160.0,,,,,,,,,,,,,
AMD,2026-01-16,historical,201.18,238.35,199.8,231.83,38.55,19.16,15.24,0.831,222464500.0,44492900.0,,,,,,,,,,,,,
AMD,2026-02-20,historical,202.15,205.3,194.83,200.15,10.47,5.18,-0.99,0.508,131535800.0,32883950.0,,,,,,,,,,,,,
AMD,2026-03-20,historical,194.98,206.3,192.83,201.33,13.47,6.91,3.26,0.631,151144400.0,30228880.0,,,,,,,,,,,,,
AMD,2026-04-17,historical,245.03,281.05,242.03,278.39,39.02,15.92,13.61,0.932,173580900.0,34716180.0,,,,,,,,,,,,,
AMD,2026-05-15,future,,,,,,,,,,,458.79,460.0,15.2,16.2,31.4,6.84,490.19,427.39,0.78,397.5,0.0,460.0,0.0
AMZN,2025-06-20,historical,212.31,217.96,208.27,209.69,9.69,4.56,-1.23,0.147,185081700.0,46270425.0,,,,,,,,,,,,,
